id,text,entities,relations
249,A cybersquatting domain save-russia[.]today is launching DoS attacks on Ukrainian news sites.,"[{'end_offset': 16, 'id': 44656, 'label': 'attack-pattern', 'start_offset': 2}, {'end_offset': 43, 'id': 44657, 'label': 'url', 'start_offset': 24}, {'end_offset': 68, 'id': 44658, 'label': 'attack-pattern', 'start_offset': 57}, {'end_offset': 92, 'id': 44659, 'label': 'identity', 'start_offset': 72}]","[{'from_id': 44658, 'id': 9, 'to_id': 44659, 'type': 'targets'}, {'from_id': 44656, 'id': 114, 'to_id': 44657, 'type': 'uses'}, {'from_id': 44658, 'id': 115, 'to_id': 44657, 'type': 'uses'}]"
14309,"Like the Android Maikspy, it first sends a notification to its C&C server to register the device.","[{'end_offset': 17, 'id': 48530, 'label': 'SOFTWARE', 'start_offset': 9}, {'end_offset': 24, 'id': 48531, 'label': 'malware', 'start_offset': 17}, {'end_offset': 73, 'id': 48532, 'label': 'Infrastucture', 'start_offset': 63}]","[{'from_id': 48531, 'id': 445, 'to_id': 48532, 'type': 'beacons-to'}]"
13996,"While analyzing the technical details of this malware, which includes two new espionage backdoors, we noticed striking similarities to other malware attributed to the threat actor known as APT37, also known as Reaper or Group 123.","[{'end_offset': 194, 'id': 48781, 'label': 'threat-actor', 'start_offset': 188}, {'end_offset': 217, 'id': 48782, 'label': 'threat-actor', 'start_offset': 210}, {'end_offset': 229, 'id': 48783, 'label': 'threat-actor', 'start_offset': 220}]","[{'from_id': 48781, 'id': 461, 'to_id': 48782, 'type': 'duplicate-of'}, {'from_id': 48781, 'id': 462, 'to_id': 48783, 'type': 'duplicate-of'}]"
13600,"(Note that Flash has been declared end-of-life by Adobe since December 31, 2020.)  If the victim downloads and executes the installer downloaded from this page, the victim will be infected with a variant of Gh0stRat malware, previously also named Gh0stCringe or CineregRAT.","[{'end_offset': 79, 'id': 51687, 'label': 'TIME', 'start_offset': 62}, {'end_offset': 215, 'id': 51688, 'label': 'malware', 'start_offset': 207}, {'end_offset': 258, 'id': 51689, 'label': 'malware', 'start_offset': 247}, {'end_offset': 272, 'id': 51690, 'label': 'malware', 'start_offset': 262}]","[{'from_id': 51688, 'id': 1133, 'to_id': 51689, 'type': 'related-to'}, {'from_id': 51688, 'id': 1134, 'to_id': 51690, 'type': 'related-to'}]"
14364,Figure 21. Connection of Maikspy variants to 107[.]180[.]46[.]243 and hxxp://fakeomegle[.]com  Figure 22. Connection of Maikspy variants to 198[.]12[.]149[.]13and hxxp://miakhalifagame[.]com/,"[{'end_offset': 191, 'id': 51779, 'label': 'URL', 'start_offset': 163}, {'end_offset': 93, 'id': 51777, 'label': 'URL', 'start_offset': 70}, {'end_offset': 127, 'id': 51781, 'label': 'malware', 'start_offset': 120}, {'end_offset': 159, 'id': 51778, 'label': 'IPV4', 'start_offset': 140}, {'end_offset': 32, 'id': 51780, 'label': 'malware', 'start_offset': 25}, {'end_offset': 65, 'id': 44372, 'label': 'IPV4', 'start_offset': 45}]","[{'from_id': 51780, 'id': 1161, 'to_id': 44372, 'type': 'communicates-with'}, {'from_id': 51780, 'id': 1162, 'to_id': 51777, 'type': 'communicates-with'}, {'from_id': 51781, 'id': 1163, 'to_id': 51778, 'type': 'communicates-with'}, {'from_id': 51781, 'id': 1164, 'to_id': 51779, 'type': 'communicates-with'}]"
13565,The source code of this framework is shared across many Chinese public forums.,"[{'end_offset': 63, 'id': 51646, 'label': 'location', 'start_offset': 56}, {'end_offset': 33, 'id': 51647, 'label': 'tools', 'start_offset': 24}]","[{'from_id': 51647, 'id': 1123, 'to_id': 51646, 'type': 'related-to'}]"
2400,"The CVE-2022-22965 vulnerability allows an attacker unauthenticated remote code execution (RCE), which Unit 42 has observed being exploited in the wild.","[{'end_offset': 18, 'id': 45495, 'label': 'vulnerability', 'start_offset': 4}, {'end_offset': 89, 'id': 45496, 'label': 'attack-pattern', 'start_offset': 52}, {'end_offset': 110, 'id': 45497, 'label': 'identity', 'start_offset': 103}]","[{'from_id': 45496, 'id': 105, 'to_id': 45495, 'type': 'delivers'}]"
14126,"At the same time, we were able to locate the Mattermost server hosted in Greece, and that gave us the current time zone of the Mattermost server.","[{'end_offset': 79, 'id': 48192, 'label': 'location', 'start_offset': 73}, {'end_offset': 144, 'id': 48191, 'label': 'Infrastucture', 'start_offset': 127}, {'end_offset': 62, 'id': 48193, 'label': 'Infrastucture', 'start_offset': 45}]","[{'from_id': 48191, 'id': 392, 'to_id': 48192, 'type': 'located-at'}, {'from_id': 48193, 'id': 393, 'to_id': 48192, 'type': 'located-at'}]"
1929,"But this link is further fortified by the Android applications we found whose code is like that of Bahamut, with the C&C matching the usual name registration pattern of Patchwork’s group, as well as an infrastructure close to an old Patchwork domain.","[{'end_offset': 49, 'id': 45181, 'label': 'SOFTWARE', 'start_offset': 42}, {'end_offset': 178, 'id': 45183, 'label': 'threat-actor', 'start_offset': 169}, {'end_offset': 242, 'id': 45184, 'label': 'threat-actor', 'start_offset': 233}, {'end_offset': 106, 'id': 45182, 'label': 'malware', 'start_offset': 99}]","[{'from_id': 45182, 'id': 80, 'to_id': 45183, 'type': 'attributed-to'}]"
1921," A malicious RTF file that exploits the CVE-2017-8750 and drops a malicious VB backdoor with C&C appswonder[.]info A malicious InPage file that exploits CVE-2017-12824 and drops two files, one non-malicious, and one malicious VB backdoor with C&C referfile[.]com  Talos recently reported both C&C domain names with one type of campaign that targets iOS and involves MDM, and another type using VB and Delphi backdoors.","[{'end_offset': 53, 'id': 47039, 'label': 'vulnerability', 'start_offset': 40}, {'end_offset': 262, 'id': 47042, 'label': 'url', 'start_offset': 247}, {'end_offset': 269, 'id': 47043, 'label': 'identity', 'start_offset': 264}, {'end_offset': 352, 'id': 47044, 'label': 'SOFTWARE', 'start_offset': 349}, {'end_offset': 16, 'id': 47045, 'label': 'malware', 'start_offset': 3}, {'end_offset': 167, 'id': 47040, 'label': 'vulnerability', 'start_offset': 153}, {'end_offset': 114, 'id': 47041, 'label': 'url', 'start_offset': 97}]","[{'from_id': 47045, 'id': 291, 'to_id': 47039, 'type': 'exploits'}, {'from_id': 47045, 'id': 292, 'to_id': 47041, 'type': 'communicates-with'}]"
4577,Recently observed COLDRIVER indicators: In another campaign tracked by CERT-UA as UAC-0056 we observed compromised email addresses of a Regional Prosecutor’s office of Ukraine leveraged to send malicious Microsoft Excel documents with VBA macros delivering Cobalt Strike.,"[{'end_offset': 270, 'id': 50428, 'label': 'tools', 'start_offset': 257}, {'end_offset': 78, 'id': 50424, 'label': 'identity', 'start_offset': 71}, {'end_offset': 90, 'id': 50425, 'label': 'threat-actor', 'start_offset': 82}, {'end_offset': 219, 'id': 50427, 'label': 'SOFTWARE', 'start_offset': 204}, {'end_offset': 27, 'id': 50423, 'label': 'threat-actor', 'start_offset': 18}, {'end_offset': 175, 'id': 50426, 'label': 'identity', 'start_offset': 136}]","[{'from_id': 50423, 'id': 969, 'to_id': 50425, 'type': 'duplicate-of'}, {'from_id': 50423, 'id': 970, 'to_id': 50426, 'type': 'impersonates'}]"
